simp,freq,famsize,semrad,semfreq,semfamsize,phon,phonfreq,phonfam
漓,6.1926,6,氵,19088.7556,238,离,538.1481,4
矽,0.079,0,石,1850.5235,61,夕,1.2642,2
娃,65.9309,10,女,18584.642,96,圭,976.8938,14
捡,25.6296,2,扌,19245.0025,233,佥,1392.5531,11
俳,0.4889,1,亻,51543.5654,164,非,1368.5778,18
淹,9.1753,2,氵,19088.7556,238,奄,110.321,8
馏,0.5827,3,饣,1257.0617,27,留,59.5062,6
惬,23.2691,1,忄,9431.3086,100,匧,23.2691,1
霆,7.5062,2,雨,2141.5901,24,廷,339.1457,6
挲,0.1086,1,手,3662.2469,15,沙,86.0691,5
愠,0.2667,2,忄,9431.3086,100,昷,328.9975,5
鸬,0.0642,1,鸟,608.1975,42,卢,3.7531,5
鹚,0.0691,1,鸟,608.1975,42,兹,100.721,6
嗡,4.9877,1,口,50016.563,297,翁,4.9877,1
撑,55.9259,8,扌,19245.0025,233,掌,55.9259,1
獒,3.9951,0,犬,278.0642,7,敖,146.3012,7
袱,5.3383,2,衤,1737.6593,32,伏,5.3383,1
掘,13.8074,6,扌,19245.0025,233,屈,30.8593,4
崭,7.8667,2,山,1569.0568,42,斩,118.563,5
纫,0.884,2,纟,11417.6494,100,刃,172.163,4
婊,16.5383,1,女,18584.642,96,表,17.363,2
杭,31.5309,2,木,23327.0765,210,亢,326.8296,9
悴,5.8222,1,忄,9431.3086,100,卒,142.0988,8
瞰,1.6247,2,目,12024.3309,58,敢,19.8617,3
毅,11.1012,5,殳,327.1259,6,豙,11.1012,1
昴,0.1679,0,日,29708.8296,72,卯,413.6247,4
觊,0.6765,1,见,3237.442,10,岂,99.9556,5
觎,0.6864,1,见,3237.442,10,俞,434.2568,11
焖,4.8741,0,火,3108.6963,70,闷,4.8741,1
骇,1.684,3,馬,1.684,1,亥,2016.8395,10
锨,0.0494,1,钅,3731.8272,120,欣,6.6667,2
崛,3.284,1,山,1569.0568,42,屈,30.8593,4
荔,7.9852,1,艹,9164.7556,191,力,305.6049,4
圪,0.0691,1,土,17088.4346,84,乞,1535.1012,6
穹,1.4716,2,穴,1620.3358,24,弓,49.7333,3
惆,5.8272,1,忄,9431.3086,100,周,348.8938,7
怅,6.6272,4,忄,9431.3086,100,长,700.4099,6
瀛,0.6914,1,氵,19088.7556,238,嬴,0.6914,1
诅,11.2642,1,讠,19842.7358,108,且,1299.7877,15
澳,42.7309,3,氵,19088.7556,238,奧,272.7457,3
汶,1.679,1,氵,19088.7556,238,文,147.5654,10
釉,0.6469,1,釆,180.2123,3,由,930.6568,14
恿,1.279,1,心,19695.9012,59,甬,1245.5753,11
攘,1.7531,2,扌,19245.0025,233,襄,15.916,4
颇,10.6025,3,页,3263.0321,33,皮,1762.9679,11
枷,1.6346,2,木,23327.0765,210,加,670.1975,9
搽,1.921,0,扌,19245.0025,233,茶,1.921,1
裳,3.4025,2,衣,2158.1333,18,尚,1084.9827,12
茨,10.4099,1,艹,9164.7556,191,次,317.6741,6
蜚,1.2148,2,虫,1653.4963,97,非,1368.5778,18
缰,0.4988,2,纟,11417.6494,100,畺,35.6099,2
煮,76.9827,2,灬,6163.1901,20,者,4725.4617,16
譬,2.5284,2,言,731.4765,8,辟,263.5901,10
呯,0.4148,0,口,50016.563,297,平,348.3951,7
菟,0.1086,0,艹,9164.7556,191,兔,0.1086,1
迥,0.721,2,辶,28384.0494,81,冋,1.8963,2
黯,4.0346,3,黑,676.8296,10,音,155.9111,4
姗,2.3407,1,女,18584.642,96,册,19.037,3
滂,0.4,1,氵,19088.7556,238,旁,147.037,10
沱,0.7506,1,氵,19088.7556,238,它,71.8667,10
嘭,1.0765,0,口,50016.563,297,彭,10.2074,3
囹,0.4247,1,囗,7478.8593,24,令,1249.5654,16
圄,0.2568,1,囗,7478.8593,24,吾,312.1975,10
踯,0.1235,1,足,2994.2815,62,郑,5.0123,2
躅,0.1136,1,足,2994.2815,62,蜀,4.8049,3
恺,8.7605,0,忄,9431.3086,100,岂,99.9556,5
搋,0.0494,1,扌,19245.0025,233,虒,0.0494,1
喃,5.1111,2,口,50016.563,297,南,10.8099,3
蘑,10.558,3,艹,9164.7556,191,磨,10.558,1
饴,0.3605,3,饣,1257.0617,27,台,1044.4,12
荼,1.9111,3,艹,9164.7556,191,余,522.6765,8
畦,0.084,0,田,4157.0321,22,圭,976.8938,14
瘟,2.4,2,疒,1856.2963,68,昷,328.9975,5
暨,2.958,0,日,29708.8296,72,既,110.563,5
蓦,2.6765,1,艹,9164.7556,191,莫,681.284,14
捻,2.721,0,扌,19245.0025,233,念,4.479,4
捏,30.5333,3,扌,19245.0025,233,圼,36.1481,2
荨,0.642,1,艹,9164.7556,191,寻,0.9235,2
